iter	Passed	Remaining
0	1	107
1	1	97
2	2	93
3	3	85
4	4	84
5	5	83
6	6	81
7	6	80
8	7	79
9	8	78
10	9	77
11	10	76
12	11	76
13	12	79
14	13	78
15	14	77
16	15	75
17	16	74
18	17	73
19	18	72
20	19	71
21	19	70
22	20	69
23	21	68
24	22	67
25	23	66
26	24	65
27	25	64
28	26	63
29	27	63
30	28	62
31	29	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	57
37	34	56
38	35	55
39	36	54
40	36	53
41	37	51
42	38	50
43	39	49
44	39	48
45	43	50
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	48	45
52	49	44
53	50	43
54	51	41
55	52	40
56	52	39
57	53	38
58	54	37
59	56	37
60	57	36
61	58	35
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	63	29
68	64	28
69	64	27
70	65	26
71	66	25
72	67	25
73	68	24
74	69	23
75	71	22
76	71	21
77	72	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	77	14
84	78	13
85	79	12
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	89	2
97	90	1
98	91	0
99	92	0
