iter	Passed	Remaining
0	3	3539
1	4	2392
2	5	1945
3	7	1934
4	8	1763
5	9	1618
6	10	1508
7	11	1429
8	12	1364
9	13	1310
10	14	1267
11	14	1230
12	15	1200
13	16	1183
14	17	1161
15	18	1142
16	19	1125
17	20	1107
18	21	1100
19	23	1142
20	24	1131
21	25	1118
22	26	1105
23	26	1095
24	27	1087
25	28	1076
26	29	1066
27	30	1055
28	31	1047
29	32	1038
30	33	1033
31	33	1027
32	34	1022
33	35	1020
34	37	1038
35	38	1033
36	39	1027
37	40	1021
38	41	1015
39	42	1009
40	42	1004
41	43	999
42	44	995
43	45	990
44	46	985
45	47	981
46	48	977
47	49	974
48	50	978
49	52	996
50	53	993
51	54	989
52	55	985
53	56	982
54	57	988
55	58	990
56	59	987
57	60	987
58	62	990
59	63	989
60	64	996
61	67	1028
62	69	1027
63	70	1025
64	71	1026
65	72	1026
66	73	1024
67	74	1022
68	75	1023
69	76	1021
70	78	1022
71	79	1024
72	81	1036
73	83	1039
74	84	1043
75	85	1042
76	86	1040
77	88	1040
78	89	1038
79	90	1036
80	91	1033
81	92	1033
82	92	1027
83	94	1025
84	95	1029
85	97	1033
86	98	1032
87	99	1030
88	100	1027
89	101	1026
90	102	1025
91	103	1024
92	104	1022
93	106	1022
94	107	1019
95	108	1021
96	109	1022
97	111	1028
98	112	1024
99	113	1021
100	114	1018
101	115	1015
102	116	1012
103	117	1009
104	118	1007
105	119	1004
106	119	1001
107	120	998
108	121	995
109	122	992
110	123	989
111	125	993
112	126	991
113	127	988
114	128	985
115	129	987
116	130	986
117	132	986
118	133	985
119	134	984
120	135	982
121	136	980
122	137	978
123	138	976
124	140	985
125	141	983
126	143	983
127	144	984
128	145	985
129	147	984
130	148	983
131	149	981
132	150	979
133	151	978
134	152	976
135	154	984
136	156	983
137	157	982
138	158	980
139	159	979
140	160	977
141	161	974
142	162	972
143	163	971
144	164	969
145	165	968
146	166	966
147	167	964
148	170	971
149	171	970
150	172	972
151	174	973
152	175	974
153	179	987
154	181	988
155	182	986
156	184	992
157	185	991
158	187	991
159	188	989
160	189	985
161	190	983
162	191	982
163	192	980
164	193	978
165	194	975
166	195	972
167	195	970
168	197	969
169	199	972
170	200	970
171	201	967
172	202	965
173	202	963
174	203	960
175	204	958
176	205	956
177	206	954
178	207	952
179	208	949
180	209	947
181	210	945
182	211	942
183	211	940
184	213	941
185	214	939
186	215	937
187	216	935
188	217	933
189	218	931
190	219	929
191	220	927
192	221	925
193	222	922
194	222	920
195	223	918
196	224	915
197	225	913
198	226	911
199	228	912
200	229	912
201	231	913
202	232	914
203	234	915
204	236	916
205	237	915
206	238	914
207	239	913
208	241	912
209	243	914
210	244	913
211	245	911
212	246	909
213	246	907
214	247	904
215	248	902
216	249	900
217	250	898
218	251	895
219	252	893
220	252	891
221	253	889
222	254	887
223	255	885
224	258	888
225	259	888
226	260	886
227	261	885
228	262	884
229	263	883
230	264	881
231	265	880
232	266	878
233	267	876
234	268	875
235	269	873
236	271	872
237	273	875
238	274	874
239	275	873
240	277	872
241	278	871
242	279	870
243	280	870
244	281	868
245	282	867
246	284	866
247	285	865
248	287	868
249	288	866
250	290	865
251	291	863
252	292	862
253	293	861
254	294	859
255	295	858
256	296	856
257	298	858
258	299	858
259	302	862
260	305	865
261	306	864
262	307	862
263	308	860
264	309	859
265	310	857
266	311	855
267	312	853
268	313	851
269	314	849
270	317	852
271	319	854
272	320	853
273	322	853
274	323	852
275	324	851
276	325	850
277	326	848
278	327	847
279	328	845
280	330	844
281	333	848
282	334	847
283	335	846
284	337	845
285	338	844
286	339	843
287	341	843
288	342	842
289	343	841
290	345	840
291	347	841
292	348	840
293	350	840
294	351	838
295	352	837
296	353	835
297	354	835
298	355	833
299	356	832
300	357	831
301	358	829
302	360	828
303	362	829
304	363	828
305	365	828
306	366	827
307	367	826
308	368	824
309	369	823
310	371	822
311	372	820
312	373	818
313	374	817
314	376	819
315	377	818
316	379	817
317	380	816
318	382	815
319	383	814
320	384	812
321	385	810
322	386	809
323	387	807
324	388	806
325	389	805
326	391	806
